H
Li
Na
K
Rb
Cs
Be
Mg
Ca
Sr
Ba
Sc
Y
Ti
Zr
Hf
V
Nb
Ta
Cr
Mo
W
Mn
Tc
Re
Fe
Ru
Os
Co
Rh
Ir
Ni
Pd
Pt
Cu
Ag
Au
Zn
Cd
Hg
B
Al
Ga
In
Tl
C
Si
Ge
Sn
Pb
N
P
As
Sb
Bi
O
S
Se
Te
F
Cl
Br
I
He
Ne
Ar
Kr
Xe
La
Ce
Pr
Nd
Pm
Sm
Eu
Gd
Tb
Dy
Ho
Er
Tm
Yb
Lu
