Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
TlIn2Te4,8.099408681290981,8.111829854246931,8.106642780625325,89.9143174987225,89.90323300846146,90.02559660389613,-673758151.7329841,532.6133322322564,600,pass,fail,663773372.4721209
TlLa2Te4,9.006022914605797,8.938481381697024,8.954235931108006,89.89573228538953,89.90905857088502,89.94674011793651,-310838.354631637,720.815087028369,600,pass,fail,438065.7634216658
TlLu2Te4,8.253868717798838,8.228000569158397,8.225468322954164,89.61112170738458,89.73767746058273,90.16873440381964,-294087.4853294634,558.5936903711224,600,pass,fail,157059.76289079085
TlMn2Te4,8.246585182103608,8.275181311465357,8.278194512271877,90.05772528424893,90.04075711394846,89.99780058691779,-810.0886990332701,564.9200170706117,600,pass,pass,277.2226832254736
TlNb2Te4,8.278608149633627,8.278193792396024,8.279642601062756,90.01443743863746,90.01694269130715,90.0082864631772,-22151791022.168205,567.4197770793247,600,pass,fail,146326720931.87302
TlNd2Te4,12.00745273554523,11.953434654370216,11.689670049570417,89.88646414361908,89.5308478202052,90.0589969176967,-9726.73718939994,1677.7614100280853,600,pass,fail,4804.479321263922
TlNi2Te4,8.964914768417751,9.01603158146186,8.98916580718399,90.07920617121243,89.96197065325279,90.15988845207416,-3455074775.552511,726.5722049540342,600,pass,fail,30074716886.324184
TlPb2Te4,8.483614802596263,8.464512955857051,8.455382686060927,89.82763402016462,90.10152099205987,89.88726946310203,-2359.575151648851,607.1733362214137,600,pass,fail,1455.3103046072838
TlPr2Te4,8.71225425920801,8.713280908255172,8.71635040401901,90.10983363331226,90.05140645752928,89.89445336238171,-227.37173961059332,661.6757671468748,600,pass,pass,310.8849804580907
TlRe2Te4,8.838829238874215,8.880646558000418,8.880813386315726,90.04390551269624,90.09700843261888,90.10515154434287,-782.6834663351657,697.0927908253201,600,pass,pass,654.4617657753598
TlSb2Te4,8.053549832612983,8.051392481046612,8.05108818683463,90.01654114754714,90.0149442775824,89.98650565321049,-353416822.25404865,522.0509456165357,600,pass,fail,421975545.2260909
TlSc2Te4,8.187043832185955,8.18266241956005,8.181269953950126,90.0340850774187,90.10848685797008,89.99939783645662,-29363700.073460653,548.0770510436753,600,pass,fail,14716512.032507444
TlSi2Te4,7.612724279733242,7.649861918821541,7.643167120330138,90.19343357702614,89.97532974404372,90.09051959677136,-8019909.647412322,445.106561269792,600,pass,fail,13956920.535887431
TlSm2Te4,9.087037447267472,9.057828573713412,9.092431313830843,89.9066086891749,89.6316972840692,89.94738372853102,-7258.929342527903,748.3705956701449,600,pass,fail,9776.193153444035
TlSn2Te4,8.18695150972397,8.188995174230184,8.193030951336592,89.98302209010556,90.01085348503021,89.99500015802191,-813193090.7823924,549.2845711776198,600,pass,fail,557732741.5537101
TlSr2Te4,8.416604698805557,8.399285085274762,8.39124463268237,89.98456870929938,89.98512561444359,89.96803434233652,-1187396321.0621414,593.2060024175146,600,pass,fail,2265821678.336949
TlTa2Te4,8.22302134765635,8.260998513264035,8.2976629221124,89.7011508320437,90.20295041041403,89.98952654598641,-194.42264499163284,563.6520737445967,600,pass,pass,100.34805746949412
TlTb2Te4,8.39678034398636,8.40400158665735,8.415466058582986,89.94535959225601,89.97613303782322,89.99008913042142,-428.96231089853046,593.8501208747176,600,pass,pass,299.4531767305797
TlTi2Te4,8.139273749799296,8.133833441122158,8.133000119820837,89.955755480647,89.9403347712985,90.01248211056794,-779825015.9191691,538.4325837834833,600,pass,fail,456356554.3405322
TlTl2Te4,13.017278387256296,13.017278387259372,13.017278387255612,90.00000000000979,89.99999999999957,90.00000000000009,-159.18432054450653,2205.771790661665,239,pass,pass,0.0273883033330007
