Compositions,a,b,c,angle_a,angle_b,angle_c,energy,volume,steps,conv,force_conv,force
BiSn2S4,8.508333500532515,8.468448358433427,8.44801158470952,89.97390729077179,90.0089461367946,89.93079575719356,-1238.2348445516734,608.6988505521008,600,pass,pass,152.56757193630568
BiSr2S4,8.10758075021313,8.11011802467208,8.113655626038524,89.90587860007122,89.80641374734738,90.19610126382636,-90667489.64509746,533.493842317159,600,pass,fail,284072055.6811639
BiTa2S4,8.175256138258849,8.154565107420913,8.177562336396264,89.92868162598035,89.92696866852823,90.01949536783984,-5436365.506098484,545.16168061848,600,pass,fail,7599472.313841658
BiTb2S4,8.115951998098032,8.113001795000141,8.110547761162996,89.90759565494837,89.93027648867027,90.07966993443776,-332080.9010257197,534.0352451934153,600,pass,fail,210524.90956681943
BiTc2S4,8.051047580678116,8.058563002024314,8.062040386834132,89.90663035409587,89.97949969446142,90.02936031872972,-424433.337373061,523.0633689372098,600,pass,fail,406456.6916160734
BiTe2S4,8.543824227287079,8.546881765503564,8.544474339687033,89.99646954168063,90.1687944227336,90.01906710218623,-150254.18899203412,623.9408805846299,600,pass,fail,14122.262378459334
BiTi2S4,8.214925236247504,8.245666045763581,8.247334947443477,89.9619352261317,90.06345957931718,90.17209760625148,-630.2788221585024,558.651114348234,600,pass,pass,262.2811598680215
BiTl2S4,8.156914199249785,8.170995648334836,8.174549339414222,89.80269755628375,90.06030505714546,89.97482314070322,-25589276.79185868,544.8310305165045,600,pass,fail,39233091.74904622
BiTm2S4,10.504416001681069,10.292942870318678,10.441801668707113,89.09174505376595,89.0425664968325,89.25662508075109,-295.6549136521077,1128.5910779903213,600,pass,pass,0.2293549318112044
BiV2S4,8.274270348944897,8.24481176911466,8.247126670642306,89.92879689691853,89.98768818296286,90.16691901890158,-881.5657698438168,562.6145094538027,600,pass,pass,125.87984608137016
BiW2S4,8.233915755788612,8.209577966770663,8.174367388329603,89.99533202418745,90.02334288028095,90.166453632149,-25077284.9710333,552.5601152124544,600,pass,fail,61673005.182978295
BiY2S4,8.086105784759393,8.09108175145191,8.086114697229382,89.97835241877438,89.95792386460307,90.05251956806255,-913509.4441993186,529.0364244391714,600,pass,fail,1167690.659093708
BiYb2S4,7.916770161731177,7.928203390185547,7.930266814444709,89.92542692155038,89.9842700746249,90.00710509081269,-860106.0754044022,497.7488114082616,600,pass,fail,543288.342166774
BiZn2S4,8.233715519493824,8.224813573620054,8.256374260919811,90.00384387227702,89.92942763364337,89.88440842780969,-1984.6394235973944,559.1265016636269,600,pass,pass,130.839810822399
BiZr2S4,8.173010625736195,8.175086086705305,8.177407398681112,90.06261402696158,90.05317794899487,89.92787270244551,-252261.9459299984,546.373016763048,600,pass,fail,158811.63678141602
CAg2S4,8.018967547304639,8.020750765819143,8.020897584059755,89.99745357896047,90.00316168015628,90.00250098243333,-1669697.438269828,515.8892127218409,600,pass,fail,1528666.083589203
CAl2S4,7.963868392367083,7.96039929739751,7.962677016398817,90.00176338687845,90.00068690830427,89.99299571906448,-20820296154.97223,504.7984628866052,600,pass,fail,28300649948.286243
CAs2S4,7.991109210263513,7.988358935970484,7.98965916190176,89.99939988755607,89.97697671449295,89.98754566684562,-766529.6242172206,510.0266199155704,600,pass,fail,573095.9735049185
CAu2S4,8.158991477286543,8.160580976786152,8.16186566274442,90.01417686733386,90.1615385893255,89.78572723161012,-5049547190.142476,543.428267305969,600,pass,fail,7320125968.661021
CB2S4,9.64844437304369,9.607292078595812,9.958998262889663,90.20329779835608,89.84179932700717,93.53944283915288,-309.2907943690915,921.3838875117062,441,pass,pass,0.0484846754979884
CBa2S4,8.036706988929295,8.019960559680523,8.01917213069794,90.00177640367144,89.9578134685315,90.01427394433131,-2862905.3753795484,516.868150170886,600,pass,fail,788333.2525615938
CBe2S4,10.966828217829695,10.187023088137352,9.719715157255324,91.13851187364452,88.75473608807935,90.61769513109452,-282.0113857215051,1085.351136015267,600,pass,pass,0.1701815867537249
CBi2S4,8.261056535678131,8.269632136568127,8.275364301823744,89.96974335384219,89.94754110454973,90.03752491040123,-1840308.1411877824,565.3385113876616,600,pass,fail,662211.7567367739
CC2S4,8.572077305861594,8.572077305860931,8.572077305861484,90.00000000000054,90.0,89.99999999999997,-272.5024696296922,629.880606516512,42,pass,pass,0.0399170377308242
CCa2S4,8.02184140361091,8.022973461046725,8.022002040141615,89.99588810084764,90.01922745815092,90.00606627137503,-3995831.3766805455,516.2881619828432,600,pass,fail,425311.9653444304
CCd2S4,8.067502415621048,8.055563160296794,8.053802766977169,90.01541640224737,89.99750905924348,89.95182073501346,-7332045.374958245,523.40254657607,600,pass,fail,8881376.4401745
CCe2S4,7.894460971559511,7.884224687022289,7.880359508097297,89.8899684141491,89.91541897216551,89.89351473344247,-292922487.3772756,490.4847211622867,600,pass,fail,247945555.7849849
CCo2S4,8.179718230076322,8.174318702801463,8.174062726775439,89.97064292267292,89.95651433336924,89.98121969024919,-2159412.820115512,546.5471959115899,600,pass,fail,796947.8474539997
CCr2S4,7.988012745136015,7.986621026788375,7.986904447998957,89.96763019979076,89.97860256760019,90.00574786701806,-908563955.9754332,509.5422650450239,600,pass,fail,3297572040.930654
CCu2S4,8.138764518575297,8.147845732645314,8.145496910804559,90.0251761012415,90.0874813169763,89.8774516472598,-31448965715.53541,540.1536600006283,600,pass,fail,20528186179.94438
CDy2S4,8.10628252478446,8.101139988250644,8.10823198047009,89.97860446580685,90.07365428800696,90.01359472065302,-1533727400.7853377,532.4681523016944,600,pass,fail,1386518634.0559375
CEr2S4,8.110662663268169,8.097027790247877,8.102379428154297,89.93124812098745,90.01412545778416,90.0238404622968,-348923259.3953682,532.1011311326546,600,pass,fail,206213543.3623
CEu2S4,7.910309867791583,7.89657976126744,7.896753730302582,89.93783429183058,89.9500097567507,90.00049508661405,-2235092.383824674,493.2654488011107,600,pass,fail,743051.1650985414
CFe2S4,7.965637623851984,7.960748865902071,7.960141087913449,89.83751478417248,89.96016262019108,89.96307275056587,-1439814524349.664,504.76971856326753,600,pass,fail,7808293131380.923
CGa2S4,7.952578288610252,7.938455390517043,7.909487033415679,89.82709073517475,89.92630873586126,90.11483774263075,-3104.697181834271,499.3316190996613,600,pass,pass,295.85785731185985
