Formula,Ehull
AlNd2Se4,0.11376655663730428
AsAs2Se4,0.1515378303307764
AuAu2Se4,0.0
AuCu2Se4,0.07976545749689645
AuNd2Se4,0.13691794517906342
AuV2Se4,0.21803698374957747
BB2Se4,0.0
BaGd2Se4,0.15708209845958265
BaNd2Se4,0.15667178632361267
BaNi2Se4,0.16375070513566392
BaSm2Se4,0.20597272938849898
BaZn2Se4,0.14620321987410279
BiBi2Se4,0.0691263736004184
BiCa2Se4,0.155662011914246
BiHg2Se4,0.16504756815983912
BiMo2Se4,0.3430075700859305
BiNd2Se4,0.14042293262713113
BiSm2Se4,0.17765672613656225
CaBi2Se4,0.21972219151384387
CaDy2Se4,0.04092917676900765
CaGa2Se4,0.22836996585238767
CaNd2Se4,0.1305193770582731
CaRu2Se4,0.20347075438590245
CaSm2Se4,0.14155449473100035
CaTb2Se4,0.13765043278335387
CdLu2Se4,0.21872070676843514
CoCo2Se4,0.0224673522197536
CoIr2Se4,0.21761254141431152
CrCr2Se4,0.0548244153477615
CrCu2Se4,0.10741654101324105
CrGa2Se4,0.20211262557099197
CrH2Se4,0.1157295413926489
CsDy2Se4,0.06877274471960515
CsGd2Se4,0.05294663203706129
CsNd2Se4,0.05629999256993301
CsSm2Se4,0.10083571082412668
CuCu2Se4,0.09279070740923245
CuIr2Se4,0.17711064998735182
CuNi2Se4,0.10456506282502165
CuOs2Se4,0.09914317343283763
CuRu2Se4,0.18303724571206725
CuTc2Se4,0.0
DyDy2Se4,0.08222809329199432
DyGd2Se4,0.07876687883059041
DyNd2Se4,0.11166803050514584
DyOs2Se4,0.23790611116901683
DySm2Se4,0.1093049684188081
ErCa2Se4,0.16091990801733402
ErDy2Se4,0.10745535661756467
ErEr2Se4,0.025270524680981232
ErGa2Se4,0.19220399716485748
ErGd2Se4,0.0899558131930771
ErNd2Se4,0.07704439612885494
ErSm2Se4,0.08068058352407892
ErTc2Se4,0.0
ErV2Se4,0.17757305457743922
EuH2Se4,0.08122665857783584
FeFe2Se4,0.0
GaCa2Se4,0.18472665587107606
GaCu2Se4,0.12859776954727398
GaGa2Se4,0.12937643932509513
GaIn2Se4,0.20114293829633167
GaNd2Se4,0.15137579176092064
GaNi2Se4,0.1564483033267079
GaPd2Se4,0.05537670770565484
GaRu2Se4,0.1373490850106922
GaTc2Se4,0.0
GaV2Se4,0.1691242653100158
GaZn2Se4,1.9152528014910282
GdGd2Se4,0.03179214685557952
GdNd2Se4,0.09248124922664225
GdNi2Se4,0.1527473962880439
GdOs2Se4,0.25927774959809025
GdSm2Se4,0.10250808762381158
GdV2Se4,0.1966005596065976
HCo2Se4,0.15917654339832676
HCr2Se4,0.1783127640892097
HCu2Se4,0.06774863228642225
HGa2Se4,0.16694303655389753
HNi2Se4,0.13081557141963263
HOs2Se4,0.11915973079610076
HTc2Se4,0.0
HV2Se4,0.20637909270618948
HgCr2Se4,0.21562468113740518
HgCu2Se4,0.07535350670715024
HgGd2Se4,0.1313021546297488
HgNi2Se4,0.15141442336752453
HgV2Se4,0.20727523268828563
InIn2Se4,0.03403253363358738
IrCu2Se4,0.07290465180142913
IrGa2Se4,0.20765268725703034
IrH2Se4,0.11094649272210777
IrIr2Se4,3.444629593052366
IrNd2Se4,0.29550376373719267
LaLa2Se4,7.6360691431947165
LiEr2Se4,0.1200220598802968
LiOs2Se4,0.16292157335021873
LiV2Se4,0.13579943162556418
LuCr2Se4,0.138991014754688
LuGa2Se4,0.2184832610053844
LuLu2Se4,0.0019822913712852497
LuV2Se4,0.16034457981376615
MnH2Se4,0.057426340420160926
MnMn2Se4,0.0
MoGa2Se4,0.20977308904179814
MoHg2Se4,0.20747304071835293
MoMo2Se4,0.5608333520075828
MoNi2Se4,0.11126484806789794
NaNd2Se4,0.17193657090572856
NaSm2Se4,0.1241488733277123
NbDy2Se4,0.19260560695571716
NbNb2Se4,0.0
NbNd2Se4,0.13527249019754706
NdBa2Se4,0.11696828762293521
NdEr2Se4,0.10989047390042916
NdGa2Se4,0.16171126172477202
NdGd2Se4,0.10388880997243355
NdIr2Se4,0.2674890818162039
NdNd2Se4,0.07448887732527787
NdNi2Se4,0.17798841640359875
NdRu2Se4,0.17030765329687814
NdSc2Se4,0.02503322861724655
NdSm2Se4,0.14215635829293927
NdTb2Se4,0.11822913614440367
NdTc2Se4,0.0
NdTm2Se4,0.14612662232662643
NiCu2Se4,0.08335053285984007
NiGa2Se4,0.15362502893240126
NiGd2Se4,0.14276035528223474
NiHg2Se4,0.15207216370915022
NiNi2Se4,0.007103844781847002
NiOs2Se4,0.13963476182661516
NiPd2Se4,0.05923129837827901
NiTc2Se4,0.0
NiV2Se4,0.1310210548770101
OsCu2Se4,0.05889661402775559
OsH2Se4,0.07112968309094647
OsNd2Se4,0.2719737132770419
OsOs2Se4,0.17634181140097738
OsSm2Se4,0.23067123815646706
OsTc2Se4,0.0
OsV2Se4,0.20808478948121945
PbPb2Se4,0.1312350100284645
PdCu2Se4,0.047438977967515505
PdGa2Se4,0.15990074773842622
PdPd2Se4,0.0
PdTc2Se4,0.0
PdV2Se4,0.13174711205959966
PrEr2Se4,0.11876408815298856
PrNd2Se4,0.11786994243726046
PrPr2Se4,3.965840508501044
PrRu2Se4,0.1541747510596556
PrSm2Se4,0.10343779841902467
PtPt2Se4,0.09124168316746051
RbEr2Se4,0.14418504359105544
RhGa2Se4,0.1718263197624168
RhRh2Se4,0.0
RuCu2Se4,0.08563322522014971
RuGa2Se4,0.16661641133395744
RuH2Se4,0.09055874365831595
RuRu2Se4,0.09894847726619549
