Formula,Ehull
AgAg2O4,0.20388467630852647
AgAl2O4,0.10426249182024439
AgAs2O4,0.30083900606037606
AgAu2O4,0.16375068552300664
AgB2O4,1.2463176833861258
AgBi2O4,0.09725164892755522
AgCe2O4,0.37188942721976925
AgCl2O4,1.122829790330392
AgCo2O4,0.10556697484193123
AgCr2O4,0.04360631878586574
AgCu2O4,0.11334020504962261
AgDy2O4,0.16564572428358115
AgEr2O4,0.15753491757629146
AgEu2O4,0.16255520048098582
AgFe2O4,0.11781604353662711
AgGa2O4,0.09348376049368046
AgGd2O4,0.1881531403662926
AgGe2O4,0.3771286205326998
AgHf2O4,0.4397075497387881
AgHo2O4,0.1681091227676701
AgI2O4,0.3823484983026453
AgIn2O4,0.07226327566509205
AgIr2O4,0.23625428566572548
AgLa2O4,0.2113586707200934
AgLu2O4,0.14146824086597487
AgMn2O4,0.057181726678079414
AgMo2O4,0.22594542474973078
AgN2O4,1.0232987077318292
AgNb2O4,0.35003363650327035
AgNd2O4,0.22697821425918452
AgNi2O4,0.38298702057313694
AgOs2O4,0.3120466552671912
AgP2O4,0.9740597387832608
AgPb2O4,0.030911403920460323
AgPd2O4,0.04577684892376599
AgPr2O4,0.2411588465610306
AgPt2O4,0.15269965415276765
AgRe2O4,0.40244379094164273
AgRh2O4,0.09001646170467659
AgRu2O4,0.25029465420118235
AgS2O4,1.0482308351631584
AgSb2O4,0.3159001376128545
AgSc2O4,0.09797217190778795
AgSe2O4,0.41336401237422216
AgSi2O4,0.8349452921303033
AgSm2O4,0.18484970754668595
AgSn2O4,0.2597104438438338
AgSr2O4,0.4424406361414004
AgTa2O4,0.4971822042196603
AgTb2O4,0.19309460688927427
AgTc2O4,0.3538613066596632
AgTe2O4,0.34914512032392686
AgTi2O4,0.2724463450676291
AgTl2O4,0.08874288483168868
AgTm2O4,0.1444512188122511
AgV2O4,0.1264233944178219
AgW2O4,0.6681708388207017
AgY2O4,0.1547403463978334
AgYb2O4,error
AgZn2O4,0.3036500275466718
AgZr2O4,0.40147074790016646
AlAg2O4,0.29371636790445077
AlAs2O4,0.559304979016443
AlAu2O4,0.35265968761136524
AlB2O4,1.5771904807009305
AlBi2O4,0.3280610470514054
AlC2O4,1.889698698814538
AlCe2O4,0.1873122232223281
AlCl2O4,0.4278932560942881
AlCo2O4,0.12715984700828997
AlCr2O4,0.16998998243586438
AlCu2O4,0.1547802649058747
AlDy2O4,0.22928972506056589
AlEr2O4,0.21247678501055223
AlEu2O4,0.20573068109363035
AlFe2O4,0.13139231446217892
AlGa2O4,0.32021220592655997
AlGd2O4,0.2051671275928566
AlGe2O4,0.5026884149882287
AlHf2O4,0.34030143177345273
AlHo2O4,0.21274007240523396
AlIn2O4,0.22738801998219582
AlIr2O4,0.5292301493426441
AlLa2O4,0.295226793340988
AlLu2O4,0.2578843339462633
AlMn2O4,0.09893618397473514
AlMo2O4,0.5939061617583947
AlNb2O4,0.19581512189535033
AlNd2O4,0.23983376486348273
AlNi2O4,0.30775720022124986
AlOs2O4,0.564424250069341
AlP2O4,1.1513436962803762
AlPb2O4,0.26428879488906354
AlPd2O4,0.34934526508744845
AlPr2O4,0.2160740555153664
AlPt2O4,0.6315535760666613
AlRe2O4,0.5502605134503078
AlRh2O4,0.18430091157684458
AlRu2O4,0.3598365892330131
AlS2O4,1.285798173223231
AlSb2O4,0.4683980970442869
AlSc2O4,0.05498583694665271
AlSe2O4,0.72191959025323
AlSi2O4,0.9875264930963734
AlSm2O4,0.21129133591348026
AlSn2O4,0.3893914700194854
AlTa2O4,0.44286211366028105
AlTb2O4,0.1861419454967761
AlTc2O4,0.401898143378026
AlTe2O4,0.5395590177827172
AlTi2O4,0.06594731659150277
AlTl2O4,0.21618059814688273
AlTm2O4,0.2609963481505835
AlV2O4,0.1123590102303842
AlW2O4,1.2376352518197722
AlY2O4,0.17968262366422572
AlYb2O4,error
AlZn2O4,0.21899929895550585
AlZr2O4,0.22080534403640684
AsAg2O4,0.07137300216522213
AsAl2O4,0.3733764180994923
AsAs2O4,0.5676174929936275
AsAu2O4,0.2999357336899484
AsB2O4,1.5711096710168047
AsBa2O4,0.34151882874764894
AsBe2O4,0.2752671001384668
AsBi2O4,0.27272129645086984
AsBr2O4,0.5821277599551733
AsC2O4,1.942417397125067
AsCa2O4,0.18671797967705306
AsCd2O4,0.06844480097211658
AsCe2O4,0.6206878540959986
AsCl2O4,0.0
AsCo2O4,0.08364103537058742
AsCr2O4,0.17601527518027815
AsCu2O4,0.06549342958261217
AsDy2O4,0.3569292830628896
AsEr2O4,0.33984858800513873
AsEu2O4,0.22093826057901467
AsFe2O4,0.18971440643813775
AsGa2O4,0.31872093797422085
AsGd2O4,0.3658369521787517
AsGe2O4,0.5584204574299161
AsHf2O4,0.8483513827050153
AsHg2O4,0.1026307913490232
AsHo2O4,0.352139408986349
AsI2O4,0.39114467778688855
AsIn2O4,0.21300862999060666
AsIr2O4,0.28312734697366704
AsLa2O4,0.4758270390751278
AsLu2O4,0.3226057908092983
AsMg2O4,0.11253016353789747
AsMn2O4,0.05134978532261947
AsMo2O4,0.529890604942918
AsN2O4,1.6402590886829707
AsNb2O4,0.5927104688910925
AsNd2O4,0.42295856300208623
AsNi2O4,0.2336053580493651
AsOs2O4,0.4878585086901266
AsP2O4,1.0676002626339
AsPb2O4,0.13014833752870025
AsPd2O4,0.24055173746124847
AsPr2O4,0.4631505660856323
AsPt2O4,0.5097232969022798
AsRe2O4,0.5722494849827608
AsRh2O4,0.15020475747455642
AsRu2O4,0.3459553596856617
AsS2O4,1.1926385847945422
AsSb2O4,1.23297678932214
AsSc2O4,0.27207197560493057
AsSe2O4,0.49284122981128053
AsSi2O4,1.275170416494955
AsSm2O4,0.39683930379485854
AsSn2O4,0.44472806161730283
AsSr2O4,0.27252548947842925
AsTa2O4,0.8647579094006552
AsTb2O4,0.3752506104526052
AsTc2O4,0.44132122106026994
AsTe2O4,0.3472560906975515
AsTi2O4,0.5295867495990807
AsTl2O4,0.10424355093515203
AsTm2O4,0.34262624874197734
AsV2O4,0.22446289274882414
AsW2O4,1.1395524210881147
AsY2O4,0.33061347623564963
AsYb2O4,error
AsZn2O4,0.1546374162297539
AsZr2O4,0.7918774830336428
AuAg2O4,0.36493511286032865
AuAl2O4,0.18254022823068095
AuAs2O4,0.4314540430382401
AuAu2O4,0.2617754178881846
AuB2O4,1.2122022569082294
AuBi2O4,0.2724721958560332
AuBr2O4,0.6527276179447119
AuC2O4,2.204709020922004
AuCa2O4,0.40670417186384267
AuCd2O4,0.28590753875190833
AuCe2O4,0.5032897567192913
AuCl2O4,1.1842952997409428
AuCo2O4,0.14493555472530506
AuCr2O4,0.13116279556471078
AuCu2O4,0.18993933132779173
AuDy2O4,0.25221857368858025
AuEr2O4,0.25152031394728613
AuEu2O4,0.3006147843410334
AuFe2O4,0.16594329716209
AuGa2O4,0.16095346003847233
AuGd2O4,0.3372279143310539
AuGe2O4,0.581436371829616
AuHf2O4,0.6268943446455779
AuHg2O4,0.31722379416862845
AuHo2O4,0.24941820380927826
AuI2O4,0.491994704374521
AuIn2O4,0.15084594465365253
AuIr2O4,0.3167202692590383
AuLa2O4,0.3927531876262558
AuLu2O4,0.21830164676629948
AuMn2O4,0.11986946158343414
AuMo2O4,0.3849834240625114
AuN2O4,1.788196047322777
AuNb2O4,0.5040817142762668
AuNd2O4,0.38133384186274544
AuNi2O4,0.37829021186688383
AuOs2O4,0.4366958201326119
AuP2O4,1.098535891664131
AuPb2O4,0.13182475246481395
AuPd2O4,0.16961279220765313
AuPr2O4,0.3286254931877295
AuPt2O4,0.32019645080400405
AuRe2O4,0.5776078628341557
AuRh2O4,0.2117408320780756
AuRu2O4,0.3960130099404049
AuS2O4,1.1988486487959316
AuSb2O4,0.5078642563963838
AuSc2O4,0.18828526481473595
AuSe2O4,0.5760348715078605
