Formula,Ehull
AgAl2Te4,0.0
AgB2Te4,0.659088953145361
AgCe2Te4,7.147163520492747
AgCo2Te4,2.801121824353069
AgCu2Te4,9.481160536430343
AgDy2Te4,0.0
AgEr2Te4,0.0
AgFe2Te4,0.1558782654452857
AgGd2Te4,0.0
AgLa2Te4,6.558125804026484
AgLu2Te4,8.900311380721725
AgNb2Te4,7.033575564226473
AgNi2Te4,7.848544846089641
AgPb2Te4,11.5418175956822
AgSb2Te4,0.0
AgSn2Te4,0.0
AgSr2Te4,0.08771864424766784
AgTa2Te4,0.182647859945269
AgTl2Te4,6.829083261185055
AgY2Te4,8.56174217535793
AgYb2Te4,error
AgZr2Te4,0.01769508189760316
AlB2Te4,3.8737966494741842
AlCe2Te4,0.23141065627694601
AlCr2Te4,0.0
AlDy2Te4,0.0216334134765086
AlEr2Te4,0.015961439328912697
AlFe2Te4,0.18831157188122294
AlLu2Te4,0.010824006144964926
AlNi2Te4,18.96419478329758
AlSc2Te4,0.023863220534112273
AlSi2Te4,3.7076881222729123
AlTa2Te4,0.3169081126908795
AlV2Te4,0.05574927442367539
AlY2Te4,0.0
AlZr2Te4,0.0
BAg2Te4,0.15975595102380824
BAl2Te4,0.0
BB2Te4,4.141669793677018
BBi2Te4,0.22469678072727683
BCe2Te4,4.746379373172451
BCo2Te4,3.1248345956286103
BCr2Te4,0.0
BEr2Te4,0.2728010070782654
BEu2Te4,0.0
BGa2Te4,0.26851443654364004
BGd2Te4,0.27059464096201147
BHf2Te4,0.40789913429574653
BHo2Te4,0.2729398017957596
BIn2Te4,0.23247667235287173
BLu2Te4,0.2526397195175969
BMn2Te4,3.5395198621066286
BNd2Te4,5.529260336392456
BNi2Te4,3.727315445317468
BRe2Te4,0.4994865643990831
BSb2Te4,3.5436618099761996
BSc2Te4,0.23850926387369942
BSi2Te4,0.0
BSn2Te4,0.18721923998440548
BSr2Te4,4.976834813586594
BTa2Te4,0.5186896417595257
BTb2Te4,5.072978309437441
BTi2Te4,0.37618155427472466
BTl2Te4,0.0
BTm2Te4,5.6363427119106495
BV2Te4,2.982734753045422
BW2Te4,0.5553543058314112
BYb2Te4,error
BZn2Te4,0.30559037366567976
BaB2Te4,3.389974723872589
BaBi2Te4,0.16269353008457843
BaCu2Te4,3.8356589798712655
BaDy2Te4,0.1466973390535209
BaEr2Te4,0.1389956577946485
BaEu2Te4,0.16680074517682097
BaFe2Te4,0.42047492188145696
BaGa2Te4,0.27260645229647906
BaGd2Te4,0.1320084916465989
BaLu2Te4,0.14935417749655144
BaMn2Te4,0.132235324416623
BaNb2Te4,0.37575789942578464
BaNd2Te4,0.13060210162036867
BaPr2Te4,0.12325504301148182
BaSc2Te4,0.15687016562860112
BaSr2Te4,0.1701885663080791
BaTa2Te4,0.0
BaTi2Te4,36.18805876564627
BaTl2Te4,0.29962318425656376
