Formula,Ehull
AgAg2O4,0.20388467630852247
AgAl2O4,0.18765985639010374
AgAs2O4,0.10626508549362157
AgAu2O4,0.16142062874794227
AgB2O4,0.14280585737054974
AgBi2O4,0.06237154095697495
AgCe2O4,0.3725436739357866
AgCo2O4,0.2043948422408155
AgCr2O4,0.1761758948393597
AgCu2O4,0.12743415244437095
AgDy2O4,0.16758049502051175
AgEr2O4,0.15817162170561438
AgEu2O4,0.13787921528159508
AgFe2O4,0.1806122282185827
AgGa2O4,0.14223186550353617
AgGd2O4,0.15134362917164168
AgHf2O4,0.4014084152184161
AgHo2O4,0.15339116320157586
AgI2O4,0.08073164107898334
AgIn2O4,0.1346830795372984
AgIr2O4,0.31136451188504655
AgLa2O4,0.11931084732495734
AgLu2O4,0.16419113211820324
AgMn2O4,0.1451894743410138
AgMo2O4,0.3122971678275377
AgNb2O4,0.2783684984081489
AgNd2O4,0.12083521915474105
AgNi2O4,0.442840789051548
AgOs2O4,0.2675302927173462
AgPb2O4,0.07386268768025239
AgPd2O4,0.14423431260254027
AgPr2O4,0.15010418714456364
AgPt2O4,0.20951868780480165
AgRe2O4,0.2952078906187401
AgRh2O4,0.24285404870689575
AgRu2O4,0.30298634270874203
AgSb2O4,0.18603440212661138
AgSc2O4,0.16190657531567787
AgSe2O4,0.09590185185810629
AgSm2O4,0.1166742910785512
AgSn2O4,0.29052336218732044
AgSr2O4,0.15345292036617852
AgTa2O4,0.3348732677220685
AgTb2O4,0.15747932525975816
AgTc2O4,0.34826377666611474
AgTe2O4,0.1428048227328187
AgTl2O4,0.09236950484834505
AgTm2O4,0.15515429166479233
AgV2O4,0.16947018678540626
AgW2O4,0.7490548984353333
AgY2O4,0.1508457698590444
AgYb2O4,error
AgZn2O4,0.21183371214749336
AgZr2O4,0.39645644992134343
AlAg2O4,0.1637330371541159
AlAu2O4,0.13760304381826582
AlBi2O4,0.15821414214713148
AlCe2O4,0.17207675210220152
AlCo2O4,0.08160343432437678
AlCr2O4,0.20386659018727205
AlCu2O4,0.07504154101525895
AlDy2O4,0.24230162256061938
AlEr2O4,0.250532217513463
AlEu2O4,0.16198728286617126
AlFe2O4,0.1196405179399811
AlGa2O4,0.15085248840339993
AlGd2O4,0.1938613259183004
AlGe2O4,0.15873602075266469
AlHf2O4,0.31917919082721724
AlHo2O4,0.24978793212223493
AlIn2O4,0.12293007866662808
AlIr2O4,0.42373825858831893
AlLa2O4,0.2181051586593039
AlLu2O4,0.24055147773545293
AlMn2O4,0.033701181107049116
AlMo2O4,0.6742479380841315
AlNb2O4,0.17691313779443618
AlNd2O4,0.21077084068350072
AlNi2O4,0.3197530329697784
AlOs2O4,0.3509452217245572
AlP2O4,0.25370435335166164
AlPb2O4,0.1211523693701464
AlPd2O4,0.1722186487140247
AlPr2O4,0.1836687269317272
AlPt2O4,0.1973734818028099
AlRe2O4,0.2589245519788541
AlRh2O4,0.17054735667805154
AlRu2O4,0.30534919864242926
AlSc2O4,0.14150250604912173
AlSi2O4,0.3558068496037423
AlSm2O4,0.19964922404585206
AlSn2O4,0.17944918426523504
AlTa2O4,0.20708297728966407
AlTb2O4,0.22408519565007357
AlTi2O4,0.1343757355098827
AlTl2O4,0.10585247247025276
AlTm2O4,0.2764808557655476
AlV2O4,0.14913893261664146
AlW2O4,1.295869988795407
AlY2O4,0.21223165387389997
AlYb2O4,error
AlZn2O4,0.13667594698183994
AlZr2O4,0.2208699736208466
AsAg2O4,0.08310113463727031
AsAl2O4,0.2200820413253055
AsAs2O4,0.5676174924524204
AsAu2O4,0.10604080607234323
AsBa2O4,0.1439524461877193
AsBe2O4,0.1699799525335841
AsBi2O4,0.07506254593126815
AsCa2O4,0.1326104858161079
AsCd2O4,0.06406022278627965
AsCo2O4,0.13941431349313138
AsCr2O4,0.2336516976973675
AsCu2O4,0.08206595331644717
AsDy2O4,0.220645063050517
AsEr2O4,0.19547742975881643
AsEu2O4,0.0
AsFe2O4,0.2186962622964721
AsGa2O4,0.21219411503206054
AsGd2O4,0.1837464671207556
AsGe2O4,0.18274416147068262
AsHf2O4,0.4019822539414619
AsHg2O4,0.0968785795501752
AsHo2O4,0.2358436843364471
AsIn2O4,0.1469405849844243
AsIr2O4,0.29674573677799554
AsLa2O4,0.18290554190292596
AsLu2O4,0.21739765362298513
AsMg2O4,0.11075865857733724
AsMn2O4,0.050099723046699296
AsMo2O4,0.5934251623162297
AsNb2O4,0.22591307633211066
AsNd2O4,0.1560071690778475
AsNi2O4,0.2975456311260487
AsOs2O4,0.343400648331607
AsP2O4,0.19160189822503604
AsPd2O4,0.15372141881686208
AsPr2O4,0.1954906744813174
AsPt2O4,0.1861786156272327
AsRe2O4,0.2820096902755136
AsRh2O4,0.19979620562030576
AsRu2O4,0.3011029848334186
AsSb2O4,0.08227724408346049
AsSc2O4,0.23205430382551828
AsSm2O4,0.20991759417056866
AsSn2O4,0.19571911960798616
AsSr2O4,0.14225541558886334
AsTa2O4,0.2515000098436051
AsTb2O4,0.23759024655870498
AsTc2O4,0.2570297207091601
AsTi2O4,0.35296328073313
AsTm2O4,0.22589528180121565
AsV2O4,0.20816863868080304
AsY2O4,0.21584940482779036
AsYb2O4,error
AsZn2O4,0.10449584539980439
AsZr2O4,0.3407317422007665
AuAg2O4,0.1250030886447151
AuAl2O4,0.2039573469553133
AuAs2O4,0.1109225897570063
AuAu2O4,0.26177541788818726
AuBi2O4,0.11561949326019683
AuCa2O4,0.1260631588903891
AuCd2O4,0.061354987177219655
AuCe2O4,0.37687427802178686
