Formula,DFT-Lattice,DFT-Energy
CdAl2O4,8.465855955,-360.2016
CdGa2O4,8.719922875,-301.2303
CdIn2O4,9.215525079,-282.9025
GeMg2O4,8.333697618,-349.688
GeZn2O4,8.444816089,-295.0205
MgGa2O4,8.445720946,-335.8851
MgIn2O4,8.982278196,-314.9239
SnMg2O4,8.642507412,-339.0641
ZnAl2O4,8.176515300,-374.0836
ZnGa2O4,8.452551369,-312.4214
