Formula,DFT-Lattice,DFT-Energy
CdDy2S4,11.229955930,-302.39261
CoCo2S4,9.284821759,-325.15455
CuIr2S4,9.926516253,-323.47027
CuTi2S4,10.016328730,-351.35167
FeAl2S4,9.853053220,-294.8394
FeFe2S4,9.321112142,-347.97201
FeNi2S4,9.382753027,-305.76909
FeRh2S4,9.627452522,-336.69736
MgLu2S4,10.964345030,-321.19337
NiNi2S4,9.454959000,-283.3646
