Formula,DFT-Lattice,DFT-Energy
CdAl2Se4,10.953708510,-220.25046
CdCr2Se4,10.645364870,-276.60726
CdEr2Se4,11.730447072,-274.72274
CdIn2Se4,11.487129250,-186.92703
CoCo2Se4,9.836115439,-296.05121
CuCr2Se4,10.185966875,-304.0278
MgLu2Se4,11.516680329,-289.6069
MgSc2Se4,11.224626230,-311.63288
MgY2Se4,11.667985780,-322.66107
ZnCr2Se4,10.348929270,-283.72927
