Al,Co,O
Al,Fe,O
Al,Mn,O
Al,V,O
Cd,Al,O
Cd,Cr,O
Cd,Fe,O
Cd,Ga,O
Cd,In,O
Cd,Rh,O
Cd,V,O
Co,Al,O
Co,Co,O
Co,Cr,O
Co,Fe,O
Co,Ga,O
Co,Rh,O
Co,V,O
Co,Zn,O
Cr,Al,O
Cr,Fe,O
Cr,Mn,O
Cu,Al,O
Cu,Co,O
Cu,Cr,O
Cu,Fe,O
Cu,Ga,O
Cu,Mn,O
Cu,Rh,O
Fe,Al,O
Fe,Co,O
Fe,Cr,O
Fe,Fe,O
Fe,Ga,O
Fe,Mn,O
Fe,Ni,O
Fe,V,O
Ga,Fe,O
Ga,Mn,O
Ge,Co,O
Ge,Fe,O
Ge,Mg,O
Ge,Ni,O
Ge,Zn,O
Hg,Cr,O
In,Fe,O
Li,Fe,O
Li,Mn,O
Li,Ti,O
Li,V,O
Mg,Al,O
Mg,Co,O
Mg,Cr,O
Mg,Fe,O
Mg,Ga,O
Mg,In,O
Mg,Mn,O
Mg,Rh,O
Mg,Ti,O
Mg,V,O
Mn,Al,O
Mn,Co,O
Mn,Cr,O
Mn,Cu,O
Mn,Fe,O
Mn,Ga,O
Mn,In,O
Mn,Rh,O
Mn,Sm,O
Mn,Ti,O
Mn,V,O
Mo,Ag,O
Mo,Fe,O
Mo,Li,O
Mo,Na,O
N,Al,O
Ni,Al,O
Ni,Co,O
Ni,Cr,O
Ni,Fe,O
Ni,Ga,O
Ni,Mn,O
Ni,Rh,O
Pd,Zn,O
Pt,Mg,O
Pt,Zn,O
Ru,Co,O
Sb,Co,O
Sb,Zn,O
Si,Co,O
Si,Fe,O
Si,Mg,O
Si,Ni,O
Sn,Cd,O
Sn,Co,O
Sn,Fe,O
Sn,Mg,O
Sn,Mn,O
Sn,Ni,O
Sn,Zn,O
Tc,Co,O
Tc,Mg,O
Tc,Mn,O
Te,Co,O
Ti,Co,O
Ti,Fe,O
Ti,Mg,O
Ti,Mn,O
Ti,Zn,O
V,Co,O
V,Fe,O
V,Mg,O
V,Mn,O
V,Zn,O
W,Ag,O
W,Na,O
Y,Fe,O
Zn,Al,O
Zn,Co,O
Zn,Cr,O
Zn,Fe,O
Zn,Ga,O
Zn,Rh,O
Zn,V,O
