0,1,2
Cd,Al,Se
Cd,Cr,Se
Cd,Dy,Se
Cd,Er,Se
Cd,Ho,Se
Cd,In,Se
Cd,Lu,Se
Cd,Sc,Se
Cd,Tm,Se
Cd,Y,Se
Cd,Yb,Se
Co,Co,Se
Co,In,Se
Cu,Al,Se
Cu,Cr,Se
Cu,Rh,Se
Hg,Al,Se
Hg,Cr,Se
Mg,Er,Se
Mg,Ho,Se
Mg,Lu,Se
Mg,Sc,Se
Mg,Tm,Se
Mg,Y,Se
Mg,Yb,Se
Mn,In,Se
Mn,Lu,Se
Mn,Sc,Se
Mn,Yb,Se
Zn,Al,Se
Zn,Cr,Se
Zn,Mn,Se
Zn,Y,Se
Zn,Yb,Se
