0,1,2
Be,P,N
Cd,Li,Cl
Ce,Ru,H
Ge,Ge,N
Mg,Li,Cl
Mg,Sb,N
Mn,Li,Cl
Mn,Ta,N
Ni,Li,F
Sn,Sn,N
V,Li,Cl
Zn,Li,Cl
Zr,Ti,H
