Ag3 Se4,0
Al2 Ag1 Se4,0
Ag1 As2 Se4,0
Ag1 Au2 Se4,0
Ag1 B2 Se4,0
Ag1 Bi2 Se4,0
Ce2 Ag1 Se4,0
Co2 Ag1 Se4,0
Cr2 Ag1 Se4,0
Cu2 Ag1 Se4,0
Dy2 Ag1 Se4,0
Er2 Ag1 Se4,0
Eu2 Ag1 Se4,0
Fe2 Ag1 Se4,0
Ga2 Ag1 Se4,0
Gd2 Ag1 Se4,0
Ag1 Ge2 Se4,0
Hf2 Ag1 Se4,0
Ho2 Ag1 Se4,0
In2 Ag1 Se4,0
Ag1 Ir2 Se4,0
La2 Ag1 Se4,0
Lu2 Ag1 Se4,0
Mn2 Ag1 Se4,0
Ag1 Mo2 Se4,0
Nb2 Ag1 Se4,0
Nd2 Ag1 Se4,0
Ni2 Ag1 Se4,0
Ag1 Os2 Se4,0
Ag1 P2 Se4,0
Ag1 Pb2 Se4,0
Ag1 Pd2 Se4,0
Pr2 Ag1 Se4,0
Ag1 Pt2 Se4,0
Re2 Ag1 Se4,0
Ag1 Rh2 Se4,0
Ag1 Ru2 Se4,0
Ag1 Sb2 Se4,0
Sc2 Ag1 Se4,0
Si2 Ag1 Se4,0
Sm2 Ag1 Se4,0
Ag1 Sn2 Se4,0
Sr2 Ag1 Se4,0
Ta2 Ag1 Se4,0
Tb2 Ag1 Se4,0
Tc2 Ag1 Se4,0
Ag1 Te2 Se4,0
Ti2 Ag1 Se4,0
Tl2 Ag1 Se4,0
Tm2 Ag1 Se4,0
V2 Ag1 Se4,0
Ag1 W2 Se4,0
Y2 Ag1 Se4,0
Yb2 Ag1 Se4,0
Zn2 Ag1 Se4,0
Zr2 Ag1 Se4,0
Al1 Ag2 Se4,0
Al1 As2 Se4,0
Al1 Au2 Se4,0
Al1 B2 Se4,0
Al1 Bi2 Se4,0
Ce2 Al1 Se4,0
Al1 Co2 Se4,0
Al1 Cr2 Se4,0
Al1 Cu2 Se4,0
Dy2 Al1 Se4,0
Er2 Al1 Se4,0
Eu2 Al1 Se4,0
Al1 Fe2 Se4,0
Al1 Ga2 Se4,0
Gd2 Al1 Se4,0
Al1 Ge2 Se4,0
Hf2 Al1 Se4,0
Ho2 Al1 Se4,0
Al1 In2 Se4,0
Al1 Ir2 Se4,0
La2 Al1 Se4,0
Lu2 Al1 Se4,0
Mn2 Al1 Se4,0
Al1 Mo2 Se4,0
Nb2 Al1 Se4,0
Nd2 Al1 Se4,0
Al1 Ni2 Se4,0
Al1 Os2 Se4,0
Al1 P2 Se4,0
Al1 Pb2 Se4,0
Al1 Pd2 Se4,0
Pr2 Al1 Se4,0
Al1 Pt2 Se4,0
Al1 Re2 Se4,0
